date,open,high,low,close,volume
2023-06-19 00:00:00+00:00,302.65,302.65,302.65,302.65,0
2023-06-20 00:00:00+00:00,303.35,303.35,303.35,303.35,0
2023-06-21 00:00:00+00:00,299.75,299.75,299.75,299.75,0
2023-06-22 00:00:00+00:00,311.85,311.85,311.85,311.85,0
2023-06-23 00:00:00+00:00,313.3,313.3,312.65,312.65,840
2023-06-26 00:00:00+00:00,313.5,313.5,313.5,313.5,0
2023-06-27 00:00:00+00:00,310.05,310.05,310.05,310.05,0
2023-06-28 00:00:00+00:00,316.65,316.65,316.65,316.65,0
2023-06-29 00:00:00+00:00,312.05,312.05,312.05,312.05,0
2023-06-30 00:00:00+00:00,312.8,314.75,312.7,314.75,890
2023-07-03 00:00:00+00:00,316.7,316.7,316.7,316.7,0
2023-07-04 00:00:00+00:00,313.5,313.5,313.5,313.5,0
2023-07-05 00:00:00+00:00,313.45,313.45,313.45,313.45,0
2023-07-06 00:00:00+00:00,309.4,309.4,309.4,309.4,0
2023-07-07 00:00:00+00:00,310.2,310.2,310.2,310.2,0
2023-07-10 00:00:00+00:00,304.85,304.85,304.85,304.85,0
2023-07-11 00:00:00+00:00,305.75,305.75,305.75,305.75,0
2023-07-12 00:00:00+00:00,307.1,307.1,307.1,307.1,0
2023-07-13 00:00:00+00:00,312.45,312.45,312.45,312.45,0
2023-07-14 00:00:00+00:00,319.05,319.05,319.05,319.05,0
2023-07-17 00:00:00+00:00,314.6,314.6,314.6,314.6,0
2023-07-18 00:00:00+00:00,310.4,310.4,310.4,310.4,0
2023-07-19 00:00:00+00:00,321.8,321.8,321.8,321.8,0
2023-07-20 00:00:00+00:00,316.6,316.6,316.0,316.0,26
2023-07-21 00:00:00+00:00,311.55,311.55,311.55,311.55,0
2023-07-24 00:00:00+00:00,309.75,309.75,309.75,309.75,0
2023-07-25 00:00:00+00:00,307.5,307.5,307.5,307.5,0
2023-07-26 00:00:00+00:00,302.95,302.95,302.95,302.95,0
2023-07-27 00:00:00+00:00,315.95,315.95,315.95,315.95,0
2023-07-28 00:00:00+00:00,315.6,315.6,315.6,315.6,0
2023-07-31 00:00:00+00:00,318.75,318.75,318.75,318.75,0
2023-08-01 00:00:00+00:00,319.65,319.65,319.65,319.65,0
2023-08-02 00:00:00+00:00,314.7,314.7,311.05,311.05,12851
2023-08-03 00:00:00+00:00,312.1,312.1,311.1,311.1,60
2023-08-04 00:00:00+00:00,336.8,343.55,336.5,343.55,716
2023-08-07 00:00:00+00:00,335.9,335.9,335.9,335.9,0
2023-08-08 00:00:00+00:00,339.0,339.0,336.7,336.7,57
2023-08-09 00:00:00+00:00,331.45,331.45,331.45,331.45,0
2023-08-10 00:00:00+00:00,336.05,336.05,336.05,336.05,0
2023-08-11 00:00:00+00:00,371.35,371.35,371.35,371.35,0
2023-08-14 00:00:00+00:00,338.75,338.75,338.75,338.75,0
2023-08-15 00:00:00+00:00,333.4,333.4,333.4,333.4,0
2023-08-16 00:00:00+00:00,329.2,329.2,329.2,329.2,0
2023-08-17 00:00:00+00:00,324.85,324.85,324.85,324.85,0
2023-08-18 00:00:00+00:00,319.1,319.1,319.1,319.1,0
2023-08-21 00:00:00+00:00,320.95,320.95,320.95,320.95,0
2023-08-22 00:00:00+00:00,326.05,326.05,326.05,326.05,0
2023-08-23 00:00:00+00:00,326.15,326.15,326.15,326.15,0
2023-08-24 00:00:00+00:00,323.75,323.75,323.75,323.75,0
2023-08-25 00:00:00+00:00,321.2,321.2,321.2,321.2,0
